"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","weight","price","special_price","msrp","status","visibility","vesbrand","featured","product_status","domestic_shipping_cost","international_shipping_cost","tax_class_id","is_recurring","description","short_description","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled"
"admin","base","Default","simple","4,92","ch2","0","دستبد نقره طرح دو دست","متا","فوق توصیف","1__1.jpg","1__1.jpg","1__1.jpg","product/2/دستبد-نقره-طرح-دو-دست/","product/2/دستبد-نقره-طرح-دو-دست/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.0200","900000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p style="text-align: justify;">مرسده غروی فرد&nbsp;متولد بهمن ماه 1366&nbsp;و فارغ التحصیل رشته ی مهندسی معماری در مقطع&nbsp;کارشناسی ارشد است . او به دلیل علاقه و استعداد به صنعت <strong>جواهر</strong> از سال 1390 وارد حرفه <strong>جواهرسازی</strong> نیز گردید و <strong>جواهرات دستساز</strong> او مورد استقبال قرار گرفت و در حال حاضر&nbsp;چند سالی می شود در کنار دفتر معماری خود ، گالری&nbsp;<strong>طراحی جواهرات</strong> خود &nbsp;را نیز با نام &laquo;Mercede jewellery&raquo; را اداره می کند. کارهای او هم در زمینه ی <strong>طلا</strong> و هم <strong>نقره</strong> می باشد . بعضی نمونه طراحی های مرسده را در این بخش می توانید مشاهده بفرمایید .&nbsp;</p>",".","فوق واژه","","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","دستبد نقره طرح دو دست","0","simple","","","","","","",""
"admin","","","","","ch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/1/_/2__1.jpg","","2","0"
"admin","base","Default","simple","4,88","ch2","0","گردنبند نقره طرح پازل _ آب طلا ","متا","فوق توصیف","1__2.jpg","1__2.jpg","1__2.jpg","product/2/گردنبند-نقره-طرح-پازل-_-آب-طلا/","product/2/گردنبند-نقره-طرح-پازل-_-آب-طلا/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.0100","850000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p style="text-align: justify;">مرسده غروی فرد&nbsp;متولد بهمن ماه 1366&nbsp;و فارغ التحصیل رشته ی مهندسی معماری در مقطع&nbsp;کارشناسی ارشد است . او به دلیل علاقه و استعداد به صنعت <strong>جواهر</strong> از سال 1390 وارد حرفه <strong>جواهرسازی</strong> نیز گردید و <strong>جواهرات دستساز</strong> او مورد استقبال قرار گرفت و در حال حاضر&nbsp;چند سالی می شود در کنار دفتر معماری خود ، گالری&nbsp;<strong>طراحی جواهرات</strong> خود &nbsp;را نیز با نام &laquo;Mercede jewellery&raquo; را اداره می کند. کارهای او هم در زمینه ی <strong>طلا</strong> و هم <strong>نقره</strong> می باشد . بعضی نمونه طراحی های مرسده را در این بخش می توانید مشاهده بفرمایید .&nbsp;</p>",".","فوق واژه","","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","گردنبند نقره طرح پازل _ آب طلا ","0","simple","","","","","","",""
"admin","base","Default","simple","4,92","ch2","0","دستبند نقره با طرح قیچی","متا","فوق توصیف","1__3.jpg","1__3.jpg","1__3.jpg","product/2/دستبند-نقره-با-طرح-قیچی/","product/2/دستبند-نقره-با-طرح-قیچی/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","1.0000","800000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p style="text-align: justify;">مرسده غروی فرد&nbsp;متولد بهمن ماه 1366&nbsp;و فارغ التحصیل رشته ی مهندسی معماری در مقطع&nbsp;کارشناسی ارشد است . او به دلیل علاقه و استعداد به صنعت <strong>جواهر</strong> از سال 1390 وارد حرفه <strong>جواهرسازی</strong> نیز گردید و <strong>جواهرات دستساز</strong> او مورد استقبال قرار گرفت و در حال حاضر&nbsp;چند سالی می شود در کنار دفتر معماری خود ، گالری&nbsp;<strong>طراحی جواهرات</strong> خود &nbsp;را نیز با نام &laquo;Mercede jewellery&raquo; را اداره می کند. کارهای او هم در زمینه ی <strong>طلا</strong> و هم <strong>نقره</strong> می باشد . بعضی نمونه طراحی های مرسده را در این بخش می توانید مشاهده بفرمایید .&nbsp;</p>",".","فوق واژه","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","دستبند نقره با طرح قیچی","0","simple","","","","","","",""
"admin","base","Default","simple","4,87","ch2","0","انگشتر سه تکه ","متا","فوق توصیف","1__4.jpg","1__4.jpg","1__4.jpg","product/2/انگشتر-سه-تکه/","product/2/انگشتر-سه-تکه/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.0100","500000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p style="text-align: justify;">مرسده غروی فرد&nbsp;متولد بهمن ماه 1366&nbsp;و فارغ التحصیل رشته ی مهندسی معماری در مقطع&nbsp;کارشناسی ارشد است . او به دلیل علاقه و استعداد به صنعت <strong>جواهر</strong> از سال 1390 وارد حرفه <strong>جواهرسازی</strong> نیز گردید و <strong>جواهرات دستساز</strong> او مورد استقبال قرار گرفت و در حال حاضر&nbsp;چند سالی می شود در کنار دفتر معماری خود ، گالری&nbsp;<strong>طراحی جواهرات</strong> خود &nbsp;را نیز با نام &laquo;Mercede jewellery&raquo; را اداره می کند. کارهای او هم در زمینه ی <strong>طلا</strong> و هم <strong>نقره</strong> می باشد . بعضی نمونه طراحی های مرسده را در این بخش می توانید مشاهده بفرمایید .&nbsp;</p>",".","فوق واژه","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","انگشتر سه تکه ","0","simple","","","","","","",""
"admin","base","Default","simple","4,73","ch2","0","قاب موبایل  دستساز چرم و طلا ","متا","فوق توصیف","1__5.jpg","1__5.jpg","1__5.jpg","product/2/قاب-موبایل-دستساز-چرم-و-طلا/","product/2/قاب-موبایل-دستساز-چرم-و-طلا/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.0500","1800000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p style="text-align: justify;">مرسده غروی فرد&nbsp;متولد بهمن ماه 1366&nbsp;و فارغ التحصیل رشته ی مهندسی معماری در مقطع&nbsp;کارشناسی ارشد است . او به دلیل علاقه و استعداد به صنعت <strong>جواهر</strong> از سال 1390 وارد حرفه <strong>جواهرسازی</strong> نیز گردید و <strong>جواهرات دستساز</strong> او مورد استقبال قرار گرفت و در حال حاضر&nbsp;چند سالی می شود در کنار دفتر معماری خود ، گالری&nbsp;<strong>طراحی جواهرات</strong> خود &nbsp;را نیز با نام &laquo;Mercede jewellery&raquo; را اداره می کند. کارهای او هم در زمینه ی <strong>طلا</strong> و هم <strong>نقره</strong> می باشد . بعضی نمونه طراحی های مرسده را در این بخش می توانید مشاهده بفرمایید .&nbsp;</p>",".","فوق واژه","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","قاب موبایل  دستساز چرم و طلا ","0","simple","","","","","","",""
"admin","base","Default","simple","4,88","ch2","0","گردنبند نقره با طرح ماهی","متا","فوق توصیف","1__6.jpg","1__6.jpg","1__6.jpg","product/2/گردنبند-نقره-با-طرح-ماهی/","product/2/گردنبند-نقره-با-طرح-ماهی/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.0050","1700000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p style="text-align: justify;">مرسده غروی فرد&nbsp;متولد بهمن ماه 1366&nbsp;و فارغ التحصیل رشته ی مهندسی معماری در مقطع&nbsp;کارشناسی ارشد است . او به دلیل علاقه و استعداد به صنعت <strong>جواهر</strong> از سال 1390 وارد حرفه <strong>جواهرسازی</strong> نیز گردید و <strong>جواهرات دستساز</strong> او مورد استقبال قرار گرفت و در حال حاضر&nbsp;چند سالی می شود در کنار دفتر معماری خود ، گالری&nbsp;<strong>طراحی جواهرات</strong> خود &nbsp;را نیز با نام &laquo;Mercede jewellery&raquo; را اداره می کند. کارهای او هم در زمینه ی <strong>طلا</strong> و هم <strong>نقره</strong> می باشد . بعضی نمونه طراحی های مرسده را در این بخش می توانید مشاهده بفرمایید .&nbsp;</p>",".","فوق واژه","","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","گردنبند نقره با طرح ماهی","0","simple","","","","","","",""
"admin","base","Default","simple","4,89","ch1","0","سرویس شاه عباسی آبی  ","متا","فوق توصیف","1__7.jpg","1__7.jpg","1__7.jpg","product/1/سرویس-شاه-عباسی-آبی/","product/1/سرویس-شاه-عباسی-آبی/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.1000","1280000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p>گروه هنری قاصدک از سال 1389 فعالیت خود را نموده است . این گروه تشکیل شده از 10نفر از هنرمندان <strong>گرافیست</strong> که نسبت به تخصص های افراد کار گروه را انجام می دهند. گروه قاصدک در زمینه <strong>صنایع دستی مسی</strong> فعالیت می نمایند و با طراحی های زیبا بر روی فلز <strong>مس</strong> نقش ها و<strong> زیواآلات سنتی</strong> زیبا می آفرینند .</p>
<p>تمامی طرح ها محصولات قاصدک ابتکاری و <strong>خلاقانه</strong> هستند و تمام طرح ها به ثبت صنایع دستی رسیده است.</p>",".","فوق واژه","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","سرویس شاه عباسی آبی  ","0","simple","","","","","","",""
"admin","base","Default","simple","4,88","ch1","0","گردنبند زیبا طرح مشبک ","متا","فوق توصیف","1__8.jpg","1__8.jpg","1__8.jpg","product/1/گردنبند-زیبا-طرح-مشبک/","product/1/گردنبند-زیبا-طرح-مشبک/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","1.0000","380000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p>گروه هنری قاصدک از سال 1389 فعالیت خود را نموده است . این گروه تشکیل شده از 10نفر از هنرمندان <strong>گرافیست</strong> که نسبت به تخصص های افراد کار گروه را انجام می دهند. گروه قاصدک در زمینه <strong>صنایع دستی مسی</strong> فعالیت می نمایند و با طراحی های زیبا بر روی فلز <strong>مس</strong> نقش ها و<strong> زیواآلات سنتی</strong> زیبا می آفرینند .</p>
<p>تمامی طرح ها محصولات قاصدک ابتکاری و <strong>خلاقانه</strong> هستند و تمام طرح ها به ثبت صنایع دستی رسیده است.</p>",".","فوق واژه","","","","","","","","2.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","گردنبند زیبا طرح مشبک ","0","simple","","","","","","",""
"admin","base","Default","simple","4,89","ch1","0","سرویس شاه عباسی چوب و مس","متا","فوق توصیف","1__9.jpg","1__9.jpg","1__9.jpg","product/1/سرویس-شاه-عباسی-چوب-و-مس/","product/1/سرویس-شاه-عباسی-چوب-و-مس/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","1.5000","1280000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p>گروه هنری قاصدک از سال 1389 فعالیت خود را نموده است . این گروه تشکیل شده از 10نفر از هنرمندان <strong>گرافیست</strong> که نسبت به تخصص های افراد کار گروه را انجام می دهند. گروه قاصدک در زمینه <strong>صنایع دستی مسی</strong> فعالیت می نمایند و با طراحی های زیبا بر روی فلز <strong>مس</strong> نقش ها و<strong> زیواآلات سنتی</strong> زیبا می آفرینند .</p>
<p>تمامی طرح ها محصولات قاصدک ابتکاری و <strong>خلاقانه</strong> هستند و تمام طرح ها به ثبت صنایع دستی رسیده است.</p>",".","فوق واژه","","","","","","","","20.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","سرویس شاه عباسی چوب و مس","0","simple","","","","","","",""
